#,Event,Date,Country,Location,Venue,Attendance
386,UFC Fight Night: Rodríguez vs. Penn,2017-01-15,USA,"Phoenix, Arizona",Talking Stick Resort Arena,"11,589"
385,UFC 207: Nunes vs. Rousey,2016-12-30,USA,"Las Vegas, Nevada",T-Mobile Arena,"18,533"
384,UFC on Fox: VanZant vs. Waterson,2016-12-17,USA,"Sacramento, California",Golden 1 Center,"13,136"
383,UFC 206: Holloway vs. Pettis,2016-12-10,Canada,"Toronto, Ontario",Scotiabank Arena,"18,057"
382,UFC Fight Night: Lewis vs. Abdurakhimov,2016-12-09,USA,"Albany, New York",Times Union Center,"6,216"
381,The Ultimate Fighter: Tournament of Champions Finale,2016-12-03,USA,"Las Vegas, Nevada",Palms Casino Resort,"2,044"
380,UFC Fight Night: Whittaker vs. Brunson,2016-11-27,Australia,Melbourne,Rod Laver Arena,"13,721"
379,UFC Fight Night: Bader vs. Nogueira 2,2016-11-19,Brazil,São Paulo,Ginásio do Ibirapuera,"9,028"
378,UFC Fight Night: Mousasi vs. Hall 2,2016-11-19,Northern Ireland,Belfast,The SSE Arena,"7,222"
377,UFC 205: Alvarez vs. McGregor,2016-11-12,USA,"New York City, New York",Madison Square Garden,"20,427"
376,The Ultimate Fighter Latin America 3 Finale: dos Anjos vs. Ferguson,2016-11-05,Mexico,Mexico City,Arena Ciudad de México,"11,460"
375,UFC 204: Bisping vs. Henderson 2,2016-10-08,England,Manchester,Manchester Arena,"16,000"
374,UFC Fight Night: Lineker vs. Dodson,2016-10-01,USA,"Portland, Oregon",Moda Center,"6,240"
373,UFC Fight Night: Cyborg vs. Länsberg,2016-09-24,Brazil,Brasília,Ginásio Nilson Nelson,"8,410"
372,UFC Fight Night: Poirier vs. Johnson,2016-09-17,USA,"Hidalgo, Texas",State Farm Arena,"5,624"
371,UFC 203: Miocic vs. Overeem,2016-09-10,USA,"Cleveland, Ohio",Quicken Loans Arena,"18,875"
370,UFC Fight Night: Arlovski vs. Barnett,2016-09-03,Germany,Hamburg,Barclaycard Arena,"11,763"
369,UFC on Fox: Maia vs. Condit,2016-08-27,Canada,"Vancouver, British Columbia",Rogers Arena,"10,533"
368,UFC 202: Diaz vs. McGregor 2,2016-08-20,USA,"Las Vegas, Nevada",T-Mobile Arena,"15,539"
367,UFC Fight Night: Rodríguez vs. Caceres,2016-08-06,USA,"Salt Lake City, Utah",Vivint Smart Home Arena,"6,689"
366,UFC 201: Lawler vs. Woodley,2016-07-30,USA,"Atlanta, Georgia",Philips Arena,"10,240"
365,UFC on Fox: Holm vs. Shevchenko,2016-07-23,USA,"Chicago, Illinois",United Center,"10,287"
364,UFC Fight Night: McDonald vs. Lineker,2016-07-13,USA,"Sioux Falls, South Dakota",Denny Sanford Premier Center,"5,671"
363,UFC 200: Tate vs. Nunes,2016-07-09,USA,"Las Vegas, Nevada",T-Mobile Arena,"18,202"
362,The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale,2016-07-08,USA,"Las Vegas, Nevada",MGM Grand Garden Arena,"8,115"
361,UFC Fight Night: dos Anjos vs. Alvarez,2016-07-07,USA,"Las Vegas, Nevada",MGM Grand Garden Arena,"7,760"
360,UFC Fight Night: MacDonald vs. Thompson,2016-06-18,Canada,"Ottawa, Ontario",TD Place Arena,"10,490"
359,UFC 199: Rockhold vs. Bisping 2,2016-06-04,USA,"Inglewood, California",The Forum,"15,587"
358,UFC Fight Night: Almeida vs. Garbrandt,2016-05-29,USA,"Las Vegas, Nevada",Mandalay Bay Events Center,"5,193"
357,UFC 198: Werdum vs. Miocic,2016-05-14,Brazil,Curitiba,Arena da Baixada,"45,207"
356,UFC Fight Night: Overeem vs. Arlovski,2016-05-08,Netherlands,Rotterdam,Rotterdam Ahoy,"10,421"
355,UFC 197: Jones vs. Saint Preux,2016-04-23,USA,"Las Vegas, Nevada",MGM Grand Garden Arena,"11,352"
354,UFC on Fox: Teixeira vs. Evans,2016-04-16,USA,"Tampa, Florida",Amalie Arena,"11,273"
353,UFC Fight Night: Rothwell vs. dos Santos,2016-04-10,Croatia,Zagreb,Arena Zagreb,"13,177"
352,UFC Fight Night: Hunt vs. Mir,2016-03-20,Australia,Brisbane,Brisbane Entertainment Centre,"9,552"
351,UFC 196: McGregor vs. Diaz,2016-03-05,USA,"Las Vegas, Nevada",MGM Grand Garden Arena,"14,898"
350,UFC Fight Night: Silva vs. Bisping,2016-02-27,England,London,The O2 Arena,"16,734"
349,UFC Fight Night: Cowboy vs. Cowboy,2016-02-21,USA,"Pittsburgh, Pennsylvania",Consol Energy Center,"7,330"
348,UFC Fight Night: Hendricks vs. Thompson,2016-02-06,USA,"Las Vegas, Nevada",MGM Grand Garden Arena,"7,422"
347,UFC on Fox: Johnson vs. Bader,2016-01-30,USA,"Newark, New Jersey",Prudential Center,"10,555"
346,UFC Fight Night: Dillashaw vs. Cruz,2016-01-17,USA,"Boston, Massachusetts",TD Garden,"12,022"
345,UFC 195: Lawler vs. Condit,2016-01-02,USA,"Las Vegas, Nevada",MGM Grand Garden Arena,"10,300"
344,UFC on Fox: dos Anjos vs. Cowboy 2,2015-12-19,USA,"Orlando, Florida",Amway Center,"14,459"
343,UFC 194: Aldo vs. McGregor,2015-12-12,USA,"Las Vegas, Nevada",MGM Grand Garden Arena,"16,516"
342,The Ultimate Fighter: Team McGregor vs. Team Faber Finale,2015-12-11,USA,"Las Vegas, Nevada",The Chelsea at The Cosmopolitan,"2,566"
341,UFC Fight Night: Namajunas vs. VanZant,2015-12-10,USA,"Las Vegas, Nevada",The Chelsea at The Cosmopolitan,"1,643"
340,UFC Fight Night: Henderson vs. Masvidal,2015-11-28,South Korea,Seoul,Olympic Gymnastics Arena,"12,156"
339,The Ultimate Fighter Latin America 2 Finale: Magny vs. Gastelum,2015-11-21,Mexico,Monterrey,Arena Monterrey,"10,410"
338,UFC 193: Rousey vs. Holm,2015-11-15,Australia,Melbourne,Etihad Stadium,"56,214"
337,UFC Fight Night: Belfort vs. Henderson 3,2015-11-07,Brazil,São Paulo,Ginásio do Ibirapuera,"10,628"
336,UFC Fight Night: Holohan vs. Smolka,2015-10-24,Ireland (ROI),Dublin,3Arena,"9,500"
335,UFC 192: Cormier vs. Gustafsson,2015-10-03,USA,"Houston, Texas",Toyota Center,"14,622"
334,UFC Fight Night: Barnett vs. Nelson,2015-09-27,Japan,Saitama,Saitama Super Arena,"10,137"
333,UFC 191: Johnson vs. Dodson 2,2015-09-05,USA,"Las Vegas, Nevada",MGM Grand Garden Arena,"10,873"
332,UFC Fight Night: Holloway vs. Oliveira,2015-08-23,Canada,"Saskatoon, Saskatchewan",SaskTel Centre,"7,202"
331,UFC Fight Night: Teixeira vs. Saint Preux,2015-08-08,USA,"Nashville, Tennessee",Bridgestone Arena,"7,539"
330,UFC 190: Rousey vs. Correia,2015-08-01,Brazil,Rio de Janeiro,HSBC Arena,"14,723"
329,UFC on Fox: Dillashaw vs. Barão 2,2015-07-25,USA,"Chicago, Illinois",United Center,"11,663"
328,UFC Fight Night: Bisping vs. Leites,2015-07-18,Scotland,Glasgow,The SSE Hydro,"10,451"
327,UFC Fight Night: Mir vs. Duffee,2015-07-15,USA,"San Diego, California",Valley View Casino Center,"5,471"
326,The Ultimate Fighter: American Top Team vs. Blackzilians Finale,2015-07-12,USA,"Las Vegas, Nevada",MGM Grand Garden Arena,"4,844"
