#,Event,Date,Country,Location,Venue,Attendance
85,UFC 67: All or Nothing,2007-02-03,USA,"Las Vegas, Nevada",Mandalay Bay Events Center,"10,787"
84,UFC Fight Night: Evans vs. Salmon,2007-01-25,USA,"Hollywood, Florida",Seminole Hard Rock Hotel and Casino,"5,287"
83,UFC 66: Liddell vs. Ortiz,2006-12-30,USA,"Las Vegas, Nevada",MGM Grand Garden Arena,"13,671"
82,UFC Fight Night: Sanchez vs. Riggs,2006-12-13,USA,"San Diego, California",Marine Corps Air Station Miramar,"3,000"
81,UFC 65: Bad Intentions,2006-11-18,USA,"Sacramento, California",ARCO Arena,"14,666"
80,The Ultimate Fighter: The Comeback Finale,2006-11-11,USA,"Las Vegas, Nevada",Hard Rock Hotel and Casino,"1,000"
79,UFC 64: Unstoppable,2006-10-14,USA,"Las Vegas, Nevada",Mandalay Bay Events Center,"10,173"
78,UFC Fight Night 6.5,2006-10-10,USA,"Hollywood, Florida",Seminole Hard Rock Hotel and Casino,"3,510"
77,UFC 63: Hughes vs. Penn,2006-09-23,USA,"Anaheim, California",Arrowhead Pond of Anaheim,"12,604"
76,UFC 62: Liddell vs. Sobral,2006-08-26,USA,"Las Vegas, Nevada",Mandalay Bay Events Center,"10,503"
75,UFC Fight Night 6,2006-08-17,USA,"Summerlin, Nevada",Red Rock Resort Spa and Casino,"1,412"
74,UFC 61: Bitter Rivals,2006-07-08,USA,"Las Vegas, Nevada",Mandalay Bay Events Center,"11,167"
73,UFC Ultimate Fight Night 5,2006-06-28,USA,"Las Vegas, Nevada",Hard Rock Hotel and Casino,606
72,The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,2006-06-24,USA,"Las Vegas, Nevada",Hard Rock Hotel and Casino,849
71,UFC 60: Hughes vs. Gracie,2006-05-27,USA,"Los Angeles, California",Staples Center,"14,765"
70,UFC 59: Reality Check,2006-04-15,USA,"Anaheim, California",Arrowhead Pond of Anaheim,"13,814"
69,UFC Ultimate Fight Night 4,2006-04-06,USA,"Las Vegas, Nevada",Hard Rock Hotel and Casino,843
68,UFC 58: USA vs. Canada,2006-03-04,USA,"Las Vegas, Nevada",Mandalay Bay Events Center,"9,569"
67,UFC 57: Liddell vs. Couture 3,2006-02-04,USA,"Las Vegas, Nevada",Mandalay Bay Events Center,"10,659"
66,UFC Ultimate Fight Night 3,2006-01-16,USA,"Las Vegas, Nevada",Hard Rock Hotel and Casino,"1,008"
65,UFC 56: Full Force,2005-11-19,USA,"Las Vegas, Nevada",MGM Grand Garden Arena,"12,000"
64,The Ultimate Fighter: Team Hughes vs. Team Franklin Finale,2005-11-05,USA,"Las Vegas, Nevada",Hard Rock Hotel and Casino,N/A
63,UFC 55: Fury,2005-10-07,USA,"Uncasville, Connecticut",Mohegan Sun Arena,"8,000"
62,UFC Ultimate Fight Night 2,2005-10-03,USA,"Las Vegas, Nevada",Hard Rock Hotel and Casino,N/A
61,UFC 54: Boiling Point,2005-08-20,USA,"Las Vegas, Nevada",MGM Grand Garden Arena,"13,520"
60,UFC Ultimate Fight Night,2005-08-06,USA,"Las Vegas, Nevada",Cox Pavilion,N/A
59,UFC 53: Heavy Hitters,2005-06-04,USA,"Atlantic City, New Jersey",Boardwalk Hall,"12,000"
58,UFC 52: Couture vs. Liddell,2005-04-16,USA,"Las Vegas, Nevada",MGM Grand Garden Arena,"14,562"
57,The Ultimate Fighter: Team Couture vs. Team Liddell Finale,2005-04-09,USA,"Las Vegas, Nevada",Cox Pavilion,N/A
56,UFC 51: Super Saturday,2005-02-05,USA,"Las Vegas, Nevada",Mandalay Bay Events Center,"11,072"
55,UFC 50: The War of '04,2004-10-22,USA,"Atlantic City, New Jersey",Boardwalk Hall,"9,000"
54,UFC 49: Unfinished Business,2004-08-21,USA,"Las Vegas, Nevada",MGM Grand Garden Arena,"12,100"
53,UFC 48: Payback,2004-06-19,USA,"Las Vegas, Nevada",Mandalay Bay Events Center,"10,000"
52,UFC 47: It's On!,2004-04-02,USA,"Las Vegas, Nevada",Mandalay Bay Events Center,"11,437"
51,UFC 46: Supernatural,2004-01-31,USA,"Las Vegas, Nevada",Mandalay Bay Events Center,"10,700"
50,UFC 45: Revolution,2003-11-21,USA,"Uncasville, Connecticut",Mohegan Sun Arena,"9,200"
49,UFC 44: Undisputed,2003-09-26,USA,"Las Vegas, Nevada",Mandalay Bay Events Center,"10,400"
48,UFC 43: Meltdown,2003-06-06,USA,"Las Vegas, Nevada",Thomas & Mack Center,"9,800"
47,UFC 42: Sudden Impact,2003-04-25,USA,"Miami, Florida",AmericanAirlines Arena,"7,500"
46,UFC 41: Onslaught,2003-02-28,USA,"Atlantic City, New Jersey",Boardwalk Hall,"11,707"
45,UFC 40: Vendetta,2002-11-22,USA,"Las Vegas, Nevada",MGM Grand Garden Arena,"13,770"
44,UFC 39: The Warriors Return,2002-09-27,USA,"Uncasville, Connecticut",Mohegan Sun Arena,"7,800"
43,UFC 38: Brawl at the Hall,2002-07-13,England,London,Royal Albert Hall,"5,000"
42,UFC 37.5: As Real As It Gets,2002-06-22,USA,"Las Vegas, Nevada",Bellagio,"3,700"
41,UFC 37: High Impact,2002-05-10,USA,"Bossier City, Louisiana",CenturyTel Center,"7,200"
40,UFC 36: Worlds Collide,2002-03-22,USA,"Las Vegas, Nevada",MGM Grand Garden Arena,"10,000"
39,UFC 35: Throwdown,2002-01-11,USA,"Uncasville, Connecticut",Mohegan Sun Arena,"9,600"
38,UFC 34: High Voltage,2001-11-02,USA,"Las Vegas, Nevada",MGM Grand Garden Arena,"9,000"
37,UFC 33: Victory in Vegas,2001-09-28,USA,"Las Vegas, Nevada",Mandalay Bay Events Center,"9,500"
36,UFC 32: Showdown in the Meadowlands,2001-06-29,USA,"East Rutherford, New Jersey",Continental Airlines Arena,"12,500"
35,UFC 31: Locked and Loaded,2001-05-04,USA,"Atlantic City, New Jersey",Trump Taj Mahal,N/A
34,UFC 30: Battle on the Boardwalk,2001-02-23,USA,"Atlantic City, New Jersey",Trump Taj Mahal,"3,000"
33,UFC 29: Defense of the Belts,2000-12-16,Japan,Tokyo,Differ Ariake Arena,"1,414"
32,UFC 28: High Stakes,2000-11-17,USA,"Atlantic City, New Jersey",Trump Taj Mahal,N/A
31,UFC 27: Ultimate Bad Boyz,2000-09-22,USA,"New Orleans, Louisiana",Lakefront Arena,N/A
30,UFC 26: Ultimate Field of Dreams,2000-06-09,USA,"Cedar Rapids, Iowa",Five Seasons Events Center,"1,100"
29,UFC 25: Ultimate Japan 3,2000-04-14,Japan,Tokyo,Yoyogi National Gymnasium,N/A
28,UFC 24: First Defense,2000-03-10,USA,"Lake Charles, Louisiana",Lake Charles Civic Center,N/A
27,UFC 23: Ultimate Japan 2,1999-11-19,Japan,Chiba,Tokyo Bay NK Hall,N/A
26,UFC 22: Only One Can be Champion,1999-09-24,USA,"Lake Charles, Louisiana",Lake Charles Civic Center,N/A
25,UFC 21: Return of the Champions,1999-07-16,USA,"Cedar Rapids, Iowa",Five Seasons Events Center,N/A
24,UFC 20: Battle for the Gold,1999-05-07,USA,"Birmingham, Alabama",Boutwell Memorial Auditorium,N/A
23,UFC 19: Ultimate Young Guns,1999-03-05,USA,"Bay St. Louis, Mississippi",Casino Magic Bay St. Louis,N/A
22,UFC 18: The Road to the Heavyweight Title,1999-01-08,USA,"New Orleans, Louisiana",Pontchartrain Center,N/A
21,UFC Brazil: Ultimate Brazil,1998-10-16,Brazil,São Paulo,Ginásio da Portuguesa,N/A
20,UFC 17: Redemption,1998-05-15,USA,"Mobile, Alabama",Mobile Civic Center,N/A
19,UFC 16: Battle in the Bayou,1998-03-13,USA,"New Orleans, Louisiana",Pontchartrain Center,"4,600"
18,UFC Japan: Ultimate Japan,1997-12-21,Japan,Yokohama,Yokohama Arena,"5,000"
17,UFC 15: Collision Course,1997-10-17,USA,"Bay St. Louis, Mississippi",Casino Magic Bay St. Louis,N/A
16,UFC 14: Showdown,1997-07-27,USA,"Birmingham, Alabama",Boutwell Memorial Auditorium,"5,000"
15,UFC 13: The Ultimate Force,1997-05-30,USA,"Augusta, Georgia",Augusta Civic Center,"5,100"
14,UFC 12: Judgement Day,1997-02-07,USA,"Dothan, Alabama",Dothan Civic Center,"3,100"
13,UFC: The Ultimate Ultimate 2,1996-12-07,USA,"Birmingham, Alabama",Fair Park Arena,"6,000"
12,UFC 11: The Proving Ground,1996-09-20,USA,"Augusta, Georgia",Augusta Civic Center,"4,500"
11,UFC 10: The Tournament,1996-07-12,USA,"Birmingham, Alabama",Fair Park Arena,"4,300"
10,UFC 9: Motor City Madness,1996-05-17,USA,"Detroit, Michigan",Cobo Arena,"10,000"
9,UFC 8: David vs. Goliath,1996-02-16,Puerto Rico,San Juan,Coliseo Rubén Rodríguez,"13,000"
8,UFC: The Ultimate Ultimate,1995-12-16,USA,"Denver, Colorado",Mammoth Gardens,"2,800"
7,UFC 7: The Brawl in Buffalo,1995-09-08,USA,"Buffalo, New York",Buffalo Memorial Auditorium,"9,000"
6,UFC 6: Clash of the Titans,1995-07-14,USA,"Casper, Wyoming",Casper Events Center,"2,700"
5,UFC 5: The Return of the Beast,1995-04-07,USA,"Charlotte, North Carolina",Independence Arena,"6,000"
4,UFC 4: Revenge of the Warriors,1994-12-16,USA,"Tulsa, Oklahoma",Expo Square Pavilion,"5,857"
3,UFC 3: The American Dream,1994-09-09,USA,"Charlotte, North Carolina",Grady Cole Center,N/A
2,UFC 2: No Way Out,1994-03-11,USA,"Denver, Colorado",Mammoth Gardens,"2,000"
1,UFC 1: The Beginning,1993-11-12,USA,"Denver, Colorado",McNichols Sports Arena,"7,800"
