Fight,Winner,Defeated,Referee,Date,Country,Location,Title_Bout,Weight_Class,R_fighter,B_fighter,Winning_Corner,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age
Max Griffin vs Alex Morono,Alex Morono,Max Griffin,Herb Dean,12/10/2019,USA,"Tampa, Florida",Non Title Fight,Welterweight,Max Griffin,Alex Morono,Blue,180.34,182.88,170,180.34,193.04,170,29,33
Niko Price vs James Vick,Niko Price,James Vick,Herb Dean,12/10/2019,USA,"Tampa, Florida",Non Title Fight,Welterweight,Niko Price,James Vick,Red,190.5,193.04,155,182.88,193.04,170,32,30
Miguel Baeza vs Hector Aldana,Miguel Baeza,Hector Aldana,Michael Cardoso,12/10/2019,USA,"Tampa, Florida",Non Title Fight,Welterweight,Miguel Baeza,Hector Aldana,Red,180.34,182.88,170,187.96,187.96,170,31,27
JJ Aldrich vs Lauren Mueller,JJ Aldrich,Lauren Mueller,Kevin MacDonald,12/10/2019,USA,"Tampa, Florida",Non Title Fight,Women Flyweight,JJ Aldrich,Lauren Mueller,Red,165.1,170.18,125,165.1,170.18,125,27,27
Mackenzie Dern vs Amanda Ribas,Amanda Ribas,Mackenzie Dern,Michael Cardoso,12/10/2019,USA,"Tampa, Florida",Non Title Fight,Women Strawweight,Mackenzie Dern,Amanda Ribas,Blue,160.02,167.64,125,162.56,160.02,115,26,26
Joanna Jedrzejczyk vs Michelle Waterson,Joanna Jedrzejczyk,Michelle Waterson,Herb Dean,12/10/2019,USA,"Tampa, Florida",Non Title Fight,Women Strawweight,Joanna Jedrzejczyk,Michelle Waterson,Red,160.02,157.48,115,167.64,165.1,115,33,32
Khalid Taha vs Bruno Silva,,,Greg Kleynjans,05/10/2019,Australia,"Melbourne, Victoria",Non Title Fight,Bantamweight,Khalid Taha,Bruno Silva,Draw,182.88,,185,165.1,175.26,135,30,27
Justin Tafa vs Yorgan De Castro,Yorgan De Castro,Justin Tafa,Jim Perdios,05/10/2019,Australia,"Melbourne, Victoria",Non Title Fight,Heavyweight,Justin Tafa,Yorgan De Castro,Blue,182.88,187.96,250,182.88,187.96,264,32,25
Tai Tuivasa vs Serghei Spivac,Serghei Spivac,Tai Tuivasa,Steve Perceval,05/10/2019,Australia,"Melbourne, Victoria",Non Title Fight,Heavyweight,Tai Tuivasa,Serghei Spivac,Blue,190.5,198.12,260,187.96,190.5,264,24,26
Al Iaquinta vs Dan Hooker,Dan Hooker,Al Iaquinta,John Sharp,05/10/2019,Australia,"Melbourne, Victoria",Non Title Fight,Lightweight,Al Iaquinta,Dan Hooker,Blue,182.88,190.5,155,177.8,177.8,155,29,32
Brad Riddell vs Jamie Mullarkey,Brad Riddell,Jamie Mullarkey,Marc Goddard,05/10/2019,Australia,"Melbourne, Victoria",Non Title Fight,Lightweight,Brad Riddell,Jamie Mullarkey,Red,182.88,187.96,155,170.18,180.34,155,25,28
Robert Whittaker vs Israel Adesanya,Israel Adesanya,Robert Whittaker,Marc Goddard,05/10/2019,Australia,"Melbourne, Victoria",Title Fight,Middleweight,Robert Whittaker,Israel Adesanya,Blue,193.04,203.2,185,182.88,185.42,185,30,28
Luke Jumeau vs Dhiego Lima,Dhiego Lima,Luke Jumeau,Marc Goddard,05/10/2019,Australia,"Melbourne, Victoria",Non Title Fight,Welterweight,Luke Jumeau,Dhiego Lima,Blue,187.96,190.5,170,180.34,182.88,170,30,31
Jake Matthews vs Rostem Akman,Jake Matthews,Rostem Akman,Greg Kleynjans,05/10/2019,Australia,"Melbourne, Victoria",Non Title Fight,Welterweight,Jake Matthews,Rostem Akman,Red,177.8,182.88,170,180.34,185.42,170,27,25
Callan Potter vs Maki Pitolo,Callan Potter,Maki Pitolo,Steve Perceval,05/10/2019,Australia,"Melbourne, Victoria",Non Title Fight,Welterweight,Callan Potter,Maki Pitolo,Red,177.8,190.5,185,182.88,182.88,170,28,35
Megan Anderson vs Zarah Fairn,Megan Anderson,Zarah Fairn,John Sharp,05/10/2019,Australia,"Melbourne, Victoria",Non Title Fight,Women Featherweight,Megan Anderson,Zarah Fairn,Red,172.72,182.88,145,182.88,182.88,145,32,29
Nadia Kassem vs Ji Yeon Kim,Ji Yeon Kim,Nadia Kassem,Jim Perdios,05/10/2019,Australia,"Melbourne, Victoria",Non Title Fight,Women Flyweight,Nadia Kassem,Ji Yeon Kim,Blue,170.18,182.88,125,165.1,167.64,125,29,23
Jack Shore vs Nohelin Hernandez,Jack Shore,Nohelin Hernandez,Mikkel Birch Olsen,28/09/2019,Denmark,Copenhagen,Non Title Fight,Bantamweight,Jack Shore,Nohelin Hernandez,Red,177.8,180.34,135,172.72,180.34,135,25,24
Brandon Davis vs Giga Chikadze,Giga Chikadze,Brandon Davis,Rebin Saber,28/09/2019,Denmark,Copenhagen,Non Title Fight,Featherweight,Brandon Davis,Giga Chikadze,Blue,182.88,187.96,145,177.8,182.88,135,31,29
Michal Oleksiejczuk vs Ovince Saint Preux,Ovince Saint Preux,Michal Oleksiejczuk,Leon Roberts,28/09/2019,Denmark,Copenhagen,Non Title Fight,LightHeavyweight,Michal Oleksiejczuk,Ovince Saint Preux,Blue,190.5,203.2,205,182.88,187.96,205,36,24
Ion Cutelaba vs Khalil Rountree Jr.,Ion Cutelaba,Khalil Rountree Jr.,Marc Goddard,28/09/2019,Denmark,Copenhagen,Non Title Fight,LightHeavyweight,Ion Cutelaba,Khalil Rountree Jr.,Red,185.42,193.04,205,185.42,190.5,205,29,25
Mark Madsen vs Danilo Belluardo,Mark Madsen,Danilo Belluardo,Leon Roberts,28/09/2019,Denmark,Copenhagen,Non Title Fight,Lightweight,Mark Madsen,Danilo Belluardo,Red,182.88,187.96,155,172.72,182.88,155,25,35
Marc Diakiese vs Lando Vannata,Marc Diakiese,Lando Vannata,Neil Hall,28/09/2019,Denmark,Copenhagen,Non Title Fight,Lightweight,Marc Diakiese,Lando Vannata,Red,175.26,180.34,155,177.8,185.42,155,27,26
Alen Amedovski vs John Phillips,John Phillips,Alen Amedovski,Neil Hall,28/09/2019,Denmark,Copenhagen,Non Title Fight,Middleweight,Alen Amedovski,John Phillips,Blue,180.34,190.5,185,177.8,187.96,185,34,31
Jack Hermansson vs Jared Cannonier,Jared Cannonier,Jack Hermansson,Marc Goddard,28/09/2019,Denmark,Copenhagen,Non Title Fight,Middleweight,Jack Hermansson,Jared Cannonier,Blue,180.34,195.58,185,185.42,195.58,185,35,31
Alessio Di Chirico vs Makhmud Muradov,Makhmud Muradov,Alessio Di Chirico,Mikkel Birch Olsen,28/09/2019,Denmark,Copenhagen,Non Title Fight,Middleweight,Alessio Di Chirico,Makhmud Muradov,Blue,187.96,190.5,185,182.88,187.96,185,29,29
Gunnar Nelson vs Gilbert Burns,Gilbert Burns,Gunnar Nelson,Neil Hall,28/09/2019,Denmark,Copenhagen,Non Title Fight,Welterweight,Gunnar Nelson,Gilbert Burns,Blue,177.8,180.34,170,180.34,182.88,170,33,31
Siyar Bahadurzada vs Ismail Naurdiev,Ismail Naurdiev,Siyar Bahadurzada,Marc Goddard,28/09/2019,Denmark,Copenhagen,Non Title Fight,Welterweight,Siyar Bahadurzada,Ismail Naurdiev,Blue,177.8,187.96,170,180.34,185.42,170,23,35
Nicolas Dalby vs Alex Oliveira,Nicolas Dalby,Alex Oliveira,Rebin Saber,28/09/2019,Denmark,Copenhagen,Non Title Fight,Welterweight,Nicolas Dalby,Alex Oliveira,Red,180.34,193.04,170,180.34,187.96,170,31,34
Macy Chiasson vs Lina Lansberg,Lina Lansberg,Macy Chiasson,Leon Roberts,28/09/2019,Denmark,Copenhagen,Non Title Fight,Women Bantamweight,Macy Chiasson,Lina Lansberg,Blue,170.18,165.1,135,180.34,182.88,135,37,28
Jose Quinonez vs Carlos Huachin,Jose Quinonez,Carlos Huachin,Dan Miragliotta,21/09/2019,Mexico,"Mexico City, Distrito Federal",Non Title Fight,Bantamweight,Jose Quinonez,Carlos Huachin,Red,162.56,170.18,135,172.72,175.26,135,23,29
Martin Bravo vs Steven Peterson,Steven Peterson,Martin Bravo,Herb Dean,21/09/2019,Mexico,"Mexico City, Distrito Federal",Non Title Fight,Featherweight,Martin Bravo,Steven Peterson,Blue,177.8,177.8,145,172.72,180.34,145,29,25
Marco Polo Reyes vs Kyle Nelson,Kyle Nelson,Marco Polo Reyes,Jason Herzog,21/09/2019,Mexico,"Mexico City, Distrito Federal",Non Title Fight,Featherweight,Marco Polo Reyes,Kyle Nelson,Blue,180.34,180.34,155,180.34,180.34,155,28,34
Yair Rodriguez vs Jeremy Stephens,,,Herb Dean,21/09/2019,Mexico,"Mexico City, Distrito Federal",Non Title Fight,Featherweight,Yair Rodriguez,Jeremy Stephens,Draw,175.26,180.34,145,180.34,180.34,145,33,26
Brandon Moreno vs Askar Askarov,,,Dan Miragliotta,21/09/2019,Mexico,"Mexico City, Distrito Federal",Non Title Fight,Flyweight,Brandon Moreno,Askar Askarov,Draw,167.64,170.18,125,170.18,177.8,125,26,25
Sergio Pettis vs Tyson Nam,Sergio Pettis,Tyson Nam,Herb Dean,21/09/2019,Mexico,"Mexico City, Distrito Federal",Non Title Fight,Flyweight,Sergio Pettis,Tyson Nam,Red,170.18,172.72,125,167.64,175.26,125,35,26
Vinicius Moreira vs Paul Craig,Paul Craig,Vinicius Moreira,Dan Miragliotta,21/09/2019,Mexico,"Mexico City, Distrito Federal",Non Title Fight,LightHeavyweight,Vinicius Moreira,Paul Craig,Blue,190.5,193.04,205,193.04,193.04,205,31,30
Claudio Puelles vs Marcos Mariano,Claudio Puelles,Marcos Mariano,Fernando Salas Navarro,21/09/2019,Mexico,"Mexico City, Distrito Federal",Non Title Fight,Lightweight,Claudio Puelles,Marcos Mariano,Red,185.42,193.04,155,180.34,182.88,155,32,23
Sijara Eubanks vs Bethe Correia,Bethe Correia,Sijara Eubanks,Jason Herzog,21/09/2019,Mexico,"Mexico City, Distrito Federal",Non Title Fight,Women Bantamweight,Sijara Eubanks,Bethe Correia,Blue,165.1,162.56,135,162.56,170.18,135,36,34
Irene Aldana vs Vanessa Melo,Irene Aldana,Vanessa Melo,Fernando Salas Navarro,21/09/2019,Mexico,"Mexico City, Distrito Federal",Non Title Fight,Women Bantamweight,Irene Aldana,Vanessa Melo,Red,165.1,165.1,135,175.26,172.72,135,31,31
Ariane Carnelossi vs Angela Hill,Angela Hill,Ariane Carnelossi,Fernando Salas Navarro,21/09/2019,Mexico,"Mexico City, Distrito Federal",Non Title Fight,Women Strawweight,Ariane Carnelossi,Angela Hill,Blue,160.02,162.56,115,157.48,154.94,115,34,26
Carla Esparza vs Alexa Grasso,Carla Esparza,Alexa Grasso,Jason Herzog,21/09/2019,Mexico,"Mexico City, Distrito Federal",Non Title Fight,Women Strawweight,Carla Esparza,Alexa Grasso,Red,165.1,167.64,125,154.94,160.02,115,26,31
Cole Smith vs Miles Johns,Miles Johns,Cole Smith,Jerin Valel,14/09/2019,Canada,"Vancouver, British Columbia",Non Title Fight,Bantamweight,Cole Smith,Miles Johns,Blue,170.18,167.64,135,180.34,170.18,135,25,30
Brad Katona vs Hunter Azure,Hunter Azure,Brad Katona,John Cooper,14/09/2019,Canada,"Vancouver, British Columbia",Non Title Fight,Bantamweight,Brad Katona,Hunter Azure,Blue,172.72,175.26,145,167.64,162.56,135,27,27
Louis Smolka vs Ryan MacDonald,Louis Smolka,Ryan MacDonald,John Cooper,14/09/2019,Canada,"Vancouver, British Columbia",Non Title Fight,Bantamweight,Louis Smolka,Ryan MacDonald,Red,180.34,180.34,135,175.26,172.72,135,26,28
Chas Skelly vs Jordan Griffin,Chas Skelly,Jordan Griffin,Yves Lavigne,14/09/2019,Canada,"Vancouver, British Columbia",Non Title Fight,Featherweight,Chas Skelly,Jordan Griffin,Red,177.8,185.42,145,180.34,182.88,145,29,34
Marcin Tybura vs Augusto Sakai,Augusto Sakai,Marcin Tybura,Jason Herzog,14/09/2019,Canada,"Vancouver, British Columbia",Non Title Fight,Heavyweight,Marcin Tybura,Augusto Sakai,Blue,190.5,195.58,265,190.5,198.12,249,28,33
Todd Duffee vs Jeff Hughes,,,Kevin Dornan,14/09/2019,Canada,"Vancouver, British Columbia",Non Title Fight,Heavyweight,Todd Duffee,Jeff Hughes,Draw,187.96,195.58,250,190.5,198.12,260,31,33
Misha Cirkunov vs Jimmy Crute,Misha Cirkunov,Jimmy Crute,Yves Lavigne,14/09/2019,Canada,"Vancouver, British Columbia",Non Title Fight,LightHeavyweight,Misha Cirkunov,Jimmy Crute,Red,187.96,187.96,205,190.5,195.58,205,23,32
Glover Teixeira vs Nikita Krylov,Glover Teixeira,Nikita Krylov,Yves Lavigne,14/09/2019,Canada,"Vancouver, British Columbia",Non Title Fight,LightHeavyweight,Glover Teixeira,Nikita Krylov,Red,190.5,195.58,205,187.96,193.04,205,27,39
Donald Cerrone vs Justin Gaethje,Justin Gaethje,Donald Cerrone,Jerin Valel,14/09/2019,Canada,"Vancouver, British Columbia",Non Title Fight,Lightweight,Donald Cerrone,Justin Gaethje,Blue,180.34,177.8,155,185.42,185.42,155,30,36
Kyle Prepolec vs Austin Hubbard,Austin Hubbard,Kyle Prepolec,Kevin Dornan,14/09/2019,Canada,"Vancouver, British Columbia",Non Title Fight,Lightweight,Kyle Prepolec,Austin Hubbard,Blue,177.8,180.34,155,177.8,177.8,170,27,30
Uriah Hall vs Antonio Carlos Junior,Uriah Hall,Antonio Carlos Junior,Jerin Valel,14/09/2019,Canada,"Vancouver, British Columbia",Non Title Fight,Middleweight,Uriah Hall,Antonio Carlos Junior,Red,187.96,200.66,185,182.88,200.66,185,29,35
Michel Pereira vs Tristan Connelly,Tristan Connelly,Michel Pereira,Jason Herzog,14/09/2019,Canada,"Vancouver, British Columbia",Non Title Fight,Welterweight,Michel Pereira,Tristan Connelly,Blue,177.8,172.72,170,185.42,185.42,170,33,25
Zubaira Tukhugov vs Lerone Murphy,,,Herb Dean,07/09/2019,United Arab Emirates,Abu Dhabi,Non Title Fight,Featherweight,Zubaira Tukhugov,Lerone Murphy,Draw,175.26,185.42,145,172.72,172.72,145,28,28
Curtis Blaydes vs Shamil Abdurakhimov,Curtis Blaydes,Shamil Abdurakhimov,Marc Goddard,07/09/2019,United Arab Emirates,Abu Dhabi,Non Title Fight,Heavyweight,Curtis Blaydes,Shamil Abdurakhimov,Red,190.5,193.04,235,193.04,203.2,265,38,28
Edson Barboza vs Paul Felder,Paul Felder,Edson Barboza,Herb Dean,07/09/2019,United Arab Emirates,Abu Dhabi,Non Title Fight,Lightweight,Edson Barboza,Paul Felder,Blue,180.34,177.8,155,180.34,190.5,145,35,33
Mairbek Taisumov vs Diego Ferreira,Diego Ferreira,Mairbek Taisumov,Herb Dean,07/09/2019,United Arab Emirates,Abu Dhabi,Non Title Fight,Lightweight,Mairbek Taisumov,Diego Ferreira,Blue,175.26,187.96,155,175.26,185.42,155,34,31
Islam Makhachev vs Davi Ramos,Islam Makhachev,Davi Ramos,Peter Hickmott,07/09/2019,United Arab Emirates,Abu Dhabi,Non Title Fight,Lightweight,Islam Makhachev,Davi Ramos,Red,167.64,177.8,155,177.8,177.8,155,32,27
Khabib Nurmagomedov vs Dustin Poirier,Khabib Nurmagomedov,Dustin Poirier,Marc Goddard,07/09/2019,United Arab Emirates,Abu Dhabi,Title Fight,Lightweight,Khabib Nurmagomedov,Dustin Poirier,Red,175.26,182.88,155,177.8,177.8,155,30,30
Ottman Azaitar vs Teemu Packalen,Ottman Azaitar,Teemu Packalen,Peter Hickmott,07/09/2019,United Arab Emirates,Abu Dhabi,Non Title Fight,Lightweight,Ottman Azaitar,Teemu Packalen,Red,185.42,190.5,155,172.72,180.34,155,32,29
Don Madge vs Fares Ziam,Don Madge,Fares Ziam,Peter Hickmott,07/09/2019,United Arab Emirates,Abu Dhabi,Non Title Fight,Lightweight,Don Madge,Fares Ziam,Red,185.42,190.5,155,182.88,182.88,155,22,28
Omari Akhmedov vs Zak Cummings,Omari Akhmedov,Zak Cummings,,07/09/2019,United Arab Emirates,Abu Dhabi,Non Title Fight,Middleweight,Omari Akhmedov,Zak Cummings,Red,182.88,190.5,185,182.88,185.42,185,35,31
Nordine Taleb vs Muslim Salikhov,Muslim Salikhov,Nordine Taleb,Herb Dean,07/09/2019,United Arab Emirates,Abu Dhabi,Non Title Fight,Welterweight,Nordine Taleb,Muslim Salikhov,Blue,180.34,177.8,170,185.42,187.96,170,35,38
Belal Muhammad vs Takashi Sato,Belal Muhammad,Takashi Sato,Vjacheslav Kiselev,07/09/2019,United Arab Emirates,Abu Dhabi,Non Title Fight,Welterweight,Belal Muhammad,Takashi Sato,Red,177.8,185.42,170,180.34,182.88,170,29,31
Liana Jojua vs Sarah Moras,Sarah Moras,Liana Jojua,Marc Goddard,07/09/2019,United Arab Emirates,Abu Dhabi,Non Title Fight,Women Bantamweight,Liana Jojua,Sarah Moras,Blue,170.18,170.18,135,162.56,157.48,125,31,24
Joanne Calderwood vs Andrea Lee,Joanne Calderwood,Andrea Lee,Vjacheslav Kiselev,07/09/2019,United Arab Emirates,Abu Dhabi,Non Title Fight,Women Flyweight,Joanne Calderwood,Andrea Lee,Red,167.64,175.26,125,167.64,165.1,125,30,33
Su Mudaerji vs Andre Soukhamthath,Su Mudaerji,Andre Soukhamthath,Thomas Fan,31/08/2019,China,"Shenzhen, Guangdong",Non Title Fight,Bantamweight,Su Mudaerji,Andre Soukhamthath,Red,175.26,177.8,135,172.72,182.88,125,30,23
Heili Alateng vs Batgerel Danaa,Heili Alateng,Batgerel Danaa,Steve Perceval,31/08/2019,China,"Shenzhen, Guangdong",Non Title Fight,Bantamweight,Heili Alateng,Batgerel Danaa,Red,170.18,177.8,135,165.1,167.64,135,30,27
Kai Kara-France vs Mark De La Rosa,Kai Kara-France,Mark De La Rosa,Steve Perceval,31/08/2019,China,"Shenzhen, Guangdong",Non Title Fight,Flyweight,Kai Kara-France,Mark De La Rosa,Red,167.64,165.1,135,162.56,175.26,125,24,26
Da-Un Jung vs Khadis Ibragimov,Da-Un Jung,Khadis Ibragimov,Leon Roberts,31/08/2019,China,"Shenzhen, Guangdong",Non Title Fight,LightHeavyweight,Da-Un Jung,Khadis Ibragimov,Red,190.5,198.12,205,193.04,198.12,205,24,25
Damir Ismagulov vs Thiago Moises,Damir Ismagulov,Thiago Moises,John Sharp,31/08/2019,China,"Shenzhen, Guangdong",Non Title Fight,Lightweight,Damir Ismagulov,Thiago Moises,Red,175.26,177.8,155,175.26,177.8,155,24,28
Junyong Park vs Anthony Hernandez,Anthony Hernandez,Junyong Park,Steve Perceval,31/08/2019,China,"Shenzhen, Guangdong",Non Title Fight,Middleweight,Junyong Park,Anthony Hernandez,Blue,182.88,190.5,185,177.8,185.42,185,25,28
Li Jingliang vs Elizeu Zaleski dos Santos,Li Jingliang,Elizeu Zaleski dos Santos,John Sharp,31/08/2019,China,"Shenzhen, Guangdong",Non Title Fight,Welterweight,Li Jingliang,Elizeu Zaleski dos Santos,Red,180.34,185.42,170,182.88,180.34,170,32,31
Song Kenan vs Derrick Krantz,Song Kenan,Derrick Krantz,John Sharp,31/08/2019,China,"Shenzhen, Guangdong",Non Title Fight,Welterweight,Song Kenan,Derrick Krantz,Red,177.8,182.88,170,182.88,180.34,170,31,29
Karol Rosa vs Lara Procopio,Karol Rosa,Lara Procopio,Thomas Fan,31/08/2019,China,"Shenzhen, Guangdong",Non Title Fight,Women Bantamweight,Karol Rosa,Lara Procopio,Red,162.56,170.18,125,165.1,170.18,135,23,24
Wu Yanan vs Inoue Mizuki,Inoue Mizuki,Wu Yanan,Thomas Fan,31/08/2019,China,"Shenzhen, Guangdong",Non Title Fight,Women Flyweight,Wu Yanan,Inoue Mizuki,Blue,160.02,165.1,125,172.72,167.64,125,25,23
Jessica Andrade vs Zhang Weili,Zhang Weili,Jessica Andrade,Leon Roberts,31/08/2019,China,"Shenzhen, Guangdong",Title Fight,Women Strawweight,Jessica Andrade,Zhang Weili,Blue,162.56,160.02,115,154.94,157.48,115,30,27
Raphael Assuncao vs Cory Sandhagen,Cory Sandhagen,Raphael Assuncao,Frank Trigg,17/08/2019,USA,"Anaheim, California",Non Title Fight,Bantamweight,Raphael Assuncao,Cory Sandhagen,Blue,180.34,177.8,135,165.1,167.64,135,27,37
Kyung Ho Kang vs Brandon Davis,Kyung Ho Kang,Brandon Davis,George Allen,17/08/2019,USA,"Anaheim, California",Non Title Fight,Bantamweight,Kyung Ho Kang,Brandon Davis,Red,177.8,182.88,135,175.26,185.42,135,29,31
Manny Bermudez vs Casey Kenney,Casey Kenney,Manny Bermudez,Frank Trigg,17/08/2019,USA,"Anaheim, California",Non Title Fight,CatchWeight,Manny Bermudez,Casey Kenney,Blue,170.18,172.72,140,177.8,180.34,145,28,25
Gabriel Benitez vs Sodiq Yusuff,Sodiq Yusuff,Gabriel Benitez,Herb Dean,17/08/2019,USA,"Anaheim, California",Non Title Fight,Featherweight,Gabriel Benitez,Sodiq Yusuff,Blue,175.26,180.34,145,172.72,180.34,155,26,31
Daniel Cormier vs Stipe Miocic,Stipe Miocic,Daniel Cormier,Herb Dean,17/08/2019,USA,"Anaheim, California",Title Fight,Heavyweight,Daniel Cormier,Stipe Miocic,Blue,193.04,203.2,240,180.34,182.88,235,36,40
Devonte Smith vs Khama Worthy,Khama Worthy,Devonte Smith,Jason Herzog,17/08/2019,USA,"Anaheim, California",Non Title Fight,Lightweight,Devonte Smith,Khama Worthy,Blue,180.34,187.96,155,175.26,193.04,155,32,26
Christos Giagos vs Drakkar Klose,Drakkar Klose,Christos Giagos,George Allen,17/08/2019,USA,"Anaheim, California",Non Title Fight,Lightweight,Christos Giagos,Drakkar Klose,Blue,175.26,177.8,155,177.8,180.34,155,31,29
Yoel Romero vs Paulo Costa,Paulo Costa,Yoel Romero,Jason Herzog,17/08/2019,USA,"Anaheim, California",Non Title Fight,Middleweight,Yoel Romero,Paulo Costa,Blue,185.42,182.88,185,182.88,185.42,185,28,42
Derek Brunson vs Ian Heinisch,Derek Brunson,Ian Heinisch,Mike Beltran,17/08/2019,USA,"Anaheim, California",Non Title Fight,Middleweight,Derek Brunson,Ian Heinisch,Red,180.34,182.88,185,185.42,195.58,185,31,35
Anthony Pettis vs Nate Diaz,Nate Diaz,Anthony Pettis,Mike Beltran,17/08/2019,USA,"Anaheim, California",Non Title Fight,Welterweight,Anthony Pettis,Nate Diaz,Blue,182.88,193.04,170,177.8,182.88,155,34,32
Sabina Mazo vs Shana Dobson,Sabina Mazo,Shana Dobson,Frank Trigg,17/08/2019,USA,"Anaheim, California",Non Title Fight,Women Flyweight,Sabina Mazo,Shana Dobson,Red,167.64,175.26,125,170.18,177.8,135,30,22
Hannah Cifers vs Jodie Esquibel,Hannah Cifers,Jodie Esquibel,Jason Herzog,17/08/2019,USA,"Anaheim, California",Non Title Fight,Women Strawweight,Hannah Cifers,Jodie Esquibel,Red,154.94,162.56,115,154.94,157.48,115,33,27
Geraldo de Freitas vs Chris Gutierrez,Chris Gutierrez,Geraldo de Freitas,Eduardo Herdy,10/08/2019,Uruguay,Montevideo,Non Title Fight,Bantamweight,Geraldo de Freitas,Chris Gutierrez,Blue,175.26,170.18,145,170.18,182.88,135,28,27
Eduardo Garagorri vs Humberto Bandenay,Eduardo Garagorri,Humberto Bandenay,Osiris Maia,10/08/2019,Uruguay,Montevideo,Non Title Fight,Featherweight,Eduardo Garagorri,Humberto Bandenay,Red,180.34,180.34,145,175.26,177.8,145,24,30
Enrique Barzola vs Bobby Moffett,Enrique Barzola,Bobby Moffett,Fernando Portella,10/08/2019,Uruguay,Montevideo,Non Title Fight,Featherweight,Enrique Barzola,Bobby Moffett,Red,177.8,185.42,145,170.18,177.8,145,29,30
Rogerio Bontorin vs Raulian Paiva,Rogerio Bontorin,Raulian Paiva,Osiris Maia,10/08/2019,Uruguay,Montevideo,Non Title Fight,Flyweight,Rogerio Bontorin,Raulian Paiva,Red,172.72,175.26,125,165.1,170.18,125,23,27
Ciryl Gane vs Raphael Pessoa,Ciryl Gane,Raphael Pessoa,Eduardo Herdy,10/08/2019,Uruguay,Montevideo,Non Title Fight,Heavyweight,Ciryl Gane,Raphael Pessoa,Red,190.5,198.12,262,193.04,205.74,245,30,29
Volkan Oezdemir vs Ilir Latifi,Volkan Oezdemir,Ilir Latifi,Keith Peterson,10/08/2019,Uruguay,Montevideo,Non Title Fight,LightHeavyweight,Volkan Oezdemir,Ilir Latifi,Red,177.8,185.42,205,187.96,190.5,205,36,29
Kazula Vargas vs Alex Da Silva,Alex Da Silva,Kazula Vargas,Fernando Portella,10/08/2019,Uruguay,Montevideo,Non Title Fight,Lightweight,Kazula Vargas,Alex Da Silva,Blue,172.72,185.42,155,172.72,180.34,155,23,33
Rodolfo Vieira vs Oskar Piechota,Rodolfo Vieira,Oskar Piechota,Osiris Maia,10/08/2019,Uruguay,Montevideo,Non Title Fight,Middleweight,Rodolfo Vieira,Oskar Piechota,Red,182.88,193.04,185,182.88,185.42,185,29,29
Vicente Luque vs Mike Perry,Vicente Luque,Mike Perry,Eduardo Herdy,10/08/2019,Uruguay,Montevideo,Non Title Fight,Welterweight,Vicente Luque,Mike Perry,Red,177.8,180.34,170,180.34,190.5,170,27,27
Gilbert Burns vs Aleksei Kunchenko,Gilbert Burns,Aleksei Kunchenko,Keith Peterson,10/08/2019,Uruguay,Montevideo,Non Title Fight,Welterweight,Gilbert Burns,Aleksei Kunchenko,Red,172.72,177.8,170,177.8,180.34,170,35,33
Valentina Shevchenko vs Liz Carmouche,Valentina Shevchenko,Liz Carmouche,Keith Peterson,10/08/2019,Uruguay,Montevideo,Title Fight,Women Flyweight,Valentina Shevchenko,Liz Carmouche,Red,167.64,167.64,125,165.1,167.64,125,35,31
Veronica Macedo vs Polyana Viana,Veronica Macedo,Polyana Viana,Keith Peterson,10/08/2019,Uruguay,Montevideo,Non Title Fight,Women Flyweight,Veronica Macedo,Polyana Viana,Red,165.1,170.18,115,162.56,162.56,125,27,23
Tecia Torres vs Marina Rodriguez,Marina Rodriguez,Tecia Torres,Fernando Portella,10/08/2019,Uruguay,Montevideo,Non Title Fight,Women Strawweight,Tecia Torres,Marina Rodriguez,Blue,167.64,165.1,115,154.94,152.4,115,32,29
Jordan Espinosa vs Matt Schnell,Matt Schnell,Jordan Espinosa,Gasper Oliver,03/08/2019,USA,"Newark, New Jersey",Non Title Fight,Flyweight,Jordan Espinosa,Matt Schnell,Blue,172.72,177.8,125,167.64,175.26,125,29,29
Darko Stosic vs Kennedy Nzechukwu,Kennedy Nzechukwu,Darko Stosic,Gary Copeland,03/08/2019,USA,"Newark, New Jersey",Non Title Fight,LightHeavyweight,Darko Stosic,Kennedy Nzechukwu,Blue,195.58,210.82,205,182.88,193.04,205,27,27
Joaquim Silva vs Nasrat Haqparast,Nasrat Haqparast,Joaquim Silva,Keith Peterson,03/08/2019,USA,"Newark, New Jersey",Non Title Fight,Lightweight,Joaquim Silva,Nasrat Haqparast,Blue,177.8,182.88,155,172.72,175.26,155,23,30
Scott Holtzman vs Dong Hyun Ma,Scott Holtzman,Dong Hyun Ma,Gasper Oliver,03/08/2019,USA,"Newark, New Jersey",Non Title Fight,Lightweight,Scott Holtzman,Dong Hyun Ma,Red,180.34,177.8,155,175.26,175.26,155,30,35
Jim Miller vs Clay Guida,Jim Miller,Clay Guida,Herb Dean,03/08/2019,USA,"Newark, New Jersey",Non Title Fight,Lightweight,Jim Miller,Clay Guida,Red,170.18,177.8,155,172.72,180.34,155,37,35
